BT1	58.42	57.15	90.00	BATTERY_COIN12MM	LINX_BAT-HLD-012-SMT
U28	9.40	25.02	0.00	TCA9406DCU	DCU_(R-PDSO-G8)
U29	10.29	48.77	90.00	TXS0104RGY	RGY_S-PVQFN-N14
U3	25.40	26.67	270.00	TPS61032RSA	RSA_S-PVQFN-N16
U30	10.16	42.42	0.00	MCP4726A2SOT-23	SOT23-6L
U31	54.36	72.90	90.00	BME280	BME280
U32	34.80	25.40	270.00	PAC1934QFN	QFN16
U33	28.07	46.74	270.00	ADS1115	VSSOP_10
U34	55.75	80.01	90.00	TXS0102DQM	DQM_R-PX2SON-N8
U35	60.96	79.12	90.00	MB85RC	SO08
U36	53.21	31.62	180.00	TCA9406DCU	DCU_(R-PDSO-G8)
U37	44.07	24.77	180.00	TLV3691DCK	DCK_R-PDSO-G5
U38	49.53	68.58	180.00	MLX90393	QFN16_3X3
U39	34.16	55.50	270.00	MIC94094C6	SC-70_6
U4	25.15	5.59	0.00		DFN_12_3X3
U40	33.15	19.05	0.00	SN74AHC1G86DCK	DCK_R-PDSO-G5
U41	28.19	52.71	180.00	MCP23018QFN	QFN24
U42	53.21	36.32	270.00	TXS0104RGY	RGY_S-PVQFN-N14
U43	51.18	64.14	90.00	BMA456	LGA-12_2X2
U44	46.23	63.37	270.00	VEML6030	VEML6030
U45	41.02	40.64	180.00	PCA9634QFN	QFN20_5X5
U5	54.10	10.54	90.00	BQ2980RUG	RUG_S-PQFP-N8
U6	43.56	20.57	270.00	TPS2105	SOT23-5
U7	32.00	15.11	0.00	LTC4412S6	SOT23-6L
U8	24.38	88.52	0.00	TPL5111DDC	DDC_R-PDSO-G6
U9	39.75	20.57	270.00	TPS79733	DCK_R-PDSO-G5
USB2	61.47	104.14	90.00	USB_MICROVERT	USB_MICRO_VERT_MOLEX
XTAL1	24.13	66.80	90.00	CRYSTAL8MHZ5X3.2	CRYSTAL_5X3.2_2-SMD
